order_id,user_id,order_amount,channel
ORD000067,4376,200.9,App
ORD000068,26686,120.22,WeChat_Mini
ORD000069,22135,53.73,WeChat_Mini
ORD000070,39663,120.2,WeChat_Mini
ORD000071,11241,308.1,WeChat_Mini
ORD000072,35020,87.47,WeChat_Mini
ORD000073,37882,314.73,WeChat_Mini
ORD000074,12804,11.07,WeChat_Mini
ORD000075,45860,173.73,App
ORD000076,48827,96.51,WeChat_Mini
ORD000077,38004,70.87,WeChat_Mini
ORD000078,10405,96.87,App
ORD000079,23556,18.36,App
ORD000080,34152,75.51,WeChat_Mini
ORD000081,37808,119.78,WeChat_Mini
ORD000082,18558,293.63,Douyin
ORD000083,5328,59.46,App
ORD000084,33011,47.14,App
ORD000085,46855,60.26,nan
ORD000086,42160,187.23,WeChat_Mini
ORD000087,31368,117.1,WeChat_Mini
ORD000088,39874,58.92,Douyin
ORD000089,13807,135.72,App
ORD000090,39114,97.29,WeChat_Mini
ORD000091,20510,195.37,WeChat_Mini
ORD000092,23500,51.33,App
ORD000093,11034,69.26,App
ORD000094,20803,65.78,App
ORD000095,39232,27.92,App
ORD000096,34517,114.08,App
ORD000097,8582,110.92,App
ORD000098,9850,90.39,App
ORD000099,26470,74.61,WeChat_Mini
ORD000100,27910,29.01,App
ORD000101,23444,64.3,WeChat_Mini
ORD000102,16726,68.43,App
ORD000103,37734,47.38,App
ORD000104,38310,79.12,Kuaishou
ORD000105,48606,124.37,WeChat_Mini
ORD000106,12553,407.06,Douyin
ORD000107,23670,103.51,WeChat_Mini
ORD000108,7632,110.61,Kuaishou
ORD000109,12648,84.81,App
ORD000110,18395,19.39,App
ORD000111,22350,88.13,App
ORD000112,34945,94.46,App
ORD000113,38952,645.87,App
ORD000114,26994,77.18,WeChat_Mini
ORD000115,33274,114.58,WeChat_Mini
ORD000116,2575,87.55,WeChat_Mini
ORD000117,3042,35.34,App
ORD000118,14105,224.59,WeChat_Mini
ORD000119,23070,164.28,Kuaishou
ORD000120,41575,169.5,App
ORD000121,34460,43.49,WeChat_Mini
ORD000122,27784,276.51,WeChat_Mini
ORD000123,12496,29.33,Douyin
ORD000124,8332,143.95,WeChat_Mini
ORD000125,22002,519.24,App
ORD000126,27373,40.75,Douyin
ORD000127,38035,57.22,App
ORD000128,23090,97.49,App
ORD000129,3766,60.17,WeChat_Mini
ORD000130,35939,26.04,Kuaishou
ORD000131,49727,95.09,WeChat_Mini
ORD000132,24508,38.48,nan
ORD000133,39814,131.48,Douyin
ORD000134,25400,43.14,Kuaishou
ORD000135,28335,311.05,Douyin
ORD000136,45739,48.11,App
ORD000137,33001,69.57,WeChat_Mini
ORD000138,39359,172.57,Douyin
ORD000139,15894,33.63,App
ORD000140,2817,107.98,Kuaishou
ORD000141,16698,256.14,WeChat_Mini
ORD000142,23491,24.88,WeChat_Mini
ORD000143,39214,104.35,WeChat_Mini
ORD000144,40086,110.82,nan
ORD000145,4714,168.25,WeChat_Mini
ORD000146,40161,33.46,WeChat_Mini
ORD000147,10525,31.3,WeChat_Mini
ORD000148,43578,136.67,App
ORD000149,10789,114.16,Douyin
ORD000150,5434,109.99,App
ORD000151,22590,118.77,Kuaishou
ORD000152,39231,52.25,WeChat_Mini
ORD000153,6192,108.4,App
ORD000154,27590,113.8,App
ORD000155,20152,50.83,Douyin
ORD000156,4468,400.46,App
ORD000157,12990,131.51,Kuaishou
ORD000158,40965,34.71,WeChat_Mini
ORD000159,49815,152.21,WeChat_Mini
ORD000160,16322,41.27,App
ORD000161,14122,168.96,App
ORD000162,36481,227.44,App
ORD000163,35513,46.69,App
ORD000164,6855,194.55,WeChat_Mini
ORD000165,38255,125.24,WeChat_Mini
ORD000166,48069,173.76,Douyin
ORD000167,46926,410.52,WeChat_Mini
ORD000168,26490,73.97,Douyin
ORD000169,17916,49.26,App
ORD000170,12701,44.19,WeChat_Mini
ORD000171,48852,46.87,Kuaishou
ORD000172,7321,84.63,WeChat_Mini
ORD000173,16577,118.26,App
ORD000174,49776,112.32,WeChat_Mini
ORD000175,4727,174.47,App
ORD000176,24937,90.96,WeChat_Mini
ORD000177,1184,287.96,WeChat_Mini
ORD000178,36317,72.84,App
ORD000179,33431,793.25,App
ORD000180,13246,148.49,WeChat_Mini
ORD000181,14446,45.34,WeChat_Mini
ORD000182,9993,38.22,Douyin
ORD000183,38250,132.42,App
ORD000184,20445,75.28,App
ORD000185,19968,159.37,App
ORD000186,35180,131.45,Douyin
ORD000187,21987,84.92,App
ORD000188,38085,45.72,WeChat_Mini
ORD000189,17394,26.79,WeChat_Mini
ORD000190,8490,62.98,Douyin
ORD000191,31990,178.59,nan
ORD000192,44994,106.83,App
ORD000193,35754,33.23,WeChat_Mini
ORD000194,48995,103.39,WeChat_Mini
ORD000195,7462,122.52,App
ORD000196,40918,44.39,App
ORD000197,19003,101.8,App
ORD000198,8886,94.31,App
ORD000199,6060,36.08,Douyin
ORD000200,49136,119.85,Douyin
ORD000201,4951,140.98,App
ORD000202,7965,214.1,WeChat_Mini
ORD000203,37481,209.15,App
ORD000204,6625,29.9,App
ORD000205,35099,42.51,Kuaishou
ORD000206,40109,135.91,WeChat_Mini
ORD000207,32889,135.78,App
ORD000208,25848,135.92,Kuaishou
ORD000209,45143,1962.91,Kuaishou
ORD000210,42805,142.13,WeChat_Mini
ORD000211,36419,223.29,App
ORD000212,20861,193.1,Kuaishou
ORD000213,36471,151.58,Douyin
ORD000214,48492,69.95,WeChat_Mini
ORD000215,5283,165.2,App
ORD000216,34742,48.51,WeChat_Mini
ORD000217,13321,74.48,Douyin
ORD000218,46507,61.05,App
ORD000219,9873,96.11,WeChat_Mini
ORD000220,44564,573.48,App
ORD000221,17413,20.21,App
ORD000222,32862,155.87,WeChat_Mini
ORD000223,7736,24.77,Kuaishou
ORD000224,13532,61.71,WeChat_Mini
ORD000225,26411,215.11,WeChat_Mini
ORD000226,44312,94.77,WeChat_Mini
ORD000227,44578,38.01,App
ORD000228,6891,50.79,WeChat_Mini
ORD000229,42972,155.04,App
ORD000230,10172,50.18,WeChat_Mini
ORD000231,10382,107.04,WeChat_Mini
ORD000232,25527,93.36,WeChat_Mini
ORD000233,15432,53.45,WeChat_Mini
ORD000234,19915,500.27,Kuaishou
ORD000235,4448,149.48,App
ORD000236,20309,17.81,Kuaishou
ORD000237,14911,104.5,WeChat_Mini
ORD000238,20172,53.01,Douyin
ORD000239,31232,178.03,Douyin
ORD000240,49764,47.75,App
ORD000241,46120,82.12,App
ORD000242,48752,134.83,WeChat_Mini
ORD000243,34096,179.94,WeChat_Mini
ORD000244,30789,34.46,WeChat_Mini
ORD000245,48088,68.88,Douyin
ORD000246,49880,61.56,WeChat_Mini
ORD000247,34893,53.37,WeChat_Mini
ORD000248,3067,369.58,WeChat_Mini
ORD000249,3649,124.46,Douyin
ORD000250,32713,32.83,Kuaishou
ORD000251,8922,187.6,App
ORD000252,36381,491.63,App
ORD000253,24764,205.61,WeChat_Mini
ORD000254,30453,26.7,WeChat_Mini
ORD000255,38554,61.11,App
ORD000256,28068,248.02,WeChat_Mini
ORD000257,44120,51.1,App
ORD000258,29769,128.39,WeChat_Mini
ORD000259,19216,167.29,App
ORD000260,40279,42.88,Kuaishou
ORD000261,23778,85.83,WeChat_Mini
ORD000262,34244,6.73,WeChat_Mini
ORD000263,11441,39.67,Douyin
ORD000264,23757,73.55,Douyin
ORD000265,39431,33.17,App
ORD000266,22788,332.26,Kuaishou
ORD000267,25527,28.67,WeChat_Mini
ORD000268,4513,63.31,Douyin
ORD000269,10646,99.94,Douyin
ORD000270,37569,285.15,App
ORD000271,29353,28.54,App
ORD000272,18808,228.27,App
ORD000273,9842,90.76,App
ORD000274,35941,41.05,WeChat_Mini
ORD000275,6269,130.28,Douyin
ORD000276,22213,105.56,App
ORD000277,17245,55.69,Douyin
ORD000278,2281,95.19,WeChat_Mini
ORD000279,47155,66.14,App
ORD000280,45021,98.57,Douyin
ORD000281,9869,152.89,App
ORD000282,36582,320.16,WeChat_Mini
ORD000283,12212,33.44,App
ORD000284,28686,495.93,Douyin
ORD000285,18381,18.88,WeChat_Mini
ORD000286,30803,79.72,Douyin
ORD000287,19520,144.12,App
ORD000288,17007,112.71,Douyin
ORD000289,34303,54.7,App
ORD000290,26238,76.21,App
ORD000291,25122,60.68,Kuaishou
ORD000292,21354,56.18,WeChat_Mini
ORD000293,23368,177.63,WeChat_Mini
ORD000294,27200,119.77,Kuaishou
ORD000295,46841,51.71,Kuaishou
ORD000296,37401,184.87,App
ORD000297,40973,115.1,WeChat_Mini
ORD000298,33212,172.48,WeChat_Mini
ORD000299,7576,148.96,App
ORD000300,43014,46.38,WeChat_Mini
ORD000301,24804,57.5,App
ORD000302,34739,163.67,App
ORD000303,16115,146.69,Kuaishou
ORD000304,8135,88.52,App
ORD000305,26292,98.88,WeChat_Mini
ORD000306,41811,250.17,WeChat_Mini
ORD000307,25896,56.08,Douyin
ORD000308,26892,139.45,WeChat_Mini
ORD000309,28817,76.57,App
ORD000310,33468,75.63,Douyin
ORD000311,48233,216.81,App
ORD000312,26134,174.22,nan
ORD000313,29768,172.57,App
ORD000314,3110,255.8,App
ORD000315,17520,91.54,App
ORD000316,39816,155.33,nan
ORD000317,20960,70.23,WeChat_Mini
ORD000318,16486,116.67,WeChat_Mini
ORD000319,22278,81.12,Douyin
ORD000320,43554,97.28,WeChat_Mini
ORD000321,29201,144.91,App
ORD000322,26403,46.78,App
ORD000323,42658,480.06,App
ORD000324,38425,40.25,Douyin
ORD000325,32741,34.08,Kuaishou
ORD000326,28266,227.35,Douyin
ORD000327,4276,169.58,nan
ORD000328,18227,148.31,Kuaishou
ORD000329,12774,148.81,WeChat_Mini
ORD000330,33550,89.14,App
ORD000331,14059,43.91,Douyin
ORD000332,7589,95.65,WeChat_Mini
ORD000333,39287,52.37,App
ORD000334,11278,196.39,App
ORD000335,49249,80.03,Douyin
ORD000336,20498,46.51,Kuaishou
ORD000337,31046,69.61,WeChat_Mini
ORD000338,3681,125.25,nan
ORD000339,33913,57.34,App
ORD000340,5276,46.63,App
ORD000341,15339,109.39,App
ORD000342,40097,109.51,App
ORD000343,21818,60.01,App
ORD000344,1477,61.75,WeChat_Mini
ORD000345,40875,108.38,Kuaishou
ORD000346,1090,28.26,App
ORD000347,24434,29.2,WeChat_Mini
ORD000348,30783,50.67,App
ORD000349,40390,75.89,App
ORD000350,30229,115.44,Douyin
ORD000351,4161,293.03,WeChat_Mini
ORD000352,14806,178.77,App
ORD000353,11010,79.21,App
ORD000354,46970,88.66,WeChat_Mini
ORD000355,43428,40.37,WeChat_Mini
ORD000356,20355,88.69,App
ORD000357,38559,71.46,App
ORD000358,33499,116.53,WeChat_Mini
ORD000359,34571,46.44,Kuaishou
ORD000360,15724,136.38,App
ORD000361,22103,306.8,App
ORD000362,45261,82.52,App
ORD000363,15640,124.13,WeChat_Mini
ORD000364,8893,156.35,WeChat_Mini
ORD000365,25934,65.3,Douyin
ORD000366,1354,107.69,App
ORD000367,10742,90.93,Douyin
ORD000368,40217,97.33,Douyin
ORD000369,27303,48.5,WeChat_Mini
ORD000370,18482,91.8,Kuaishou
ORD000371,34176,134.07,Kuaishou
ORD000372,14761,287.41,Kuaishou
ORD000373,8209,193.91,WeChat_Mini
ORD000374,31926,503.98,App
ORD000375,27410,48.72,Kuaishou
ORD000376,24859,180.88,WeChat_Mini
ORD000377,29846,104.24,WeChat_Mini
ORD000378,20346,518.97,Douyin
ORD000379,27185,47.15,WeChat_Mini
ORD000380,43016,45.98,App
ORD000381,9701,55.73,Kuaishou
ORD000382,40032,16.46,App
ORD000383,5386,59.11,App
ORD000384,15489,49.04,App
ORD000385,38737,101.53,App
ORD000386,47120,118.32,nan
ORD000387,38757,403.81,WeChat_Mini
ORD000388,21725,192.55,WeChat_Mini
ORD000389,18239,56.74,nan
ORD000390,30365,43.87,App
ORD000391,30711,133.42,App
ORD000392,20205,31.31,App
ORD000393,13983,389.62,WeChat_Mini
ORD000394,8864,231.26,WeChat_Mini
ORD000395,43345,61.85,WeChat_Mini
ORD000396,33941,22.86,App
ORD000397,1359,265.89,WeChat_Mini
ORD000398,48883,82.14,App
ORD000399,4540,242.32,WeChat_Mini
ORD000400,26509,25.14,WeChat_Mini
ORD000401,10563,55.73,App
ORD000402,44943,90.4,Douyin
ORD000403,42660,93.46,App
ORD000404,28160,62.8,Douyin
ORD000405,12394,148.16,App
ORD000406,19393,38.32,nan
ORD000407,40387,80.33,WeChat_Mini
ORD000408,32881,99.11,App
ORD000409,38169,135.85,App
ORD000410,44469,159.06,Douyin
ORD000411,18132,36.61,App
ORD000412,26492,26.38,App
ORD000413,25768,250.17,App
ORD000414,15161,117.43,WeChat_Mini
ORD000415,20649,49.46,App
ORD000416,22587,311.35,Douyin
ORD000417,13089,98.74,Kuaishou
ORD000418,37384,231.24,App
ORD000419,38489,95.01,App
ORD000420,10634,468.06,Douyin
ORD000421,48070,366.6,App
ORD000422,40572,73.76,App
ORD000423,24492,195.83,App
ORD000424,17025,150.85,Douyin
ORD000425,7333,269.05,Douyin
ORD000426,46927,41.6,Kuaishou
ORD000427,11348,155.84,App
ORD000428,15977,209.92,App
ORD000429,9484,22.04,App
ORD000430,6627,34.93,Kuaishou
ORD000431,37630,17.61,App
ORD000432,8588,72.56,Douyin
ORD000433,24877,159.82,App
ORD000434,46511,299.43,App
ORD000435,12551,95.51,Kuaishou
ORD000436,38986,331.26,Kuaishou
ORD000437,1104,29.84,Kuaishou
ORD000438,28242,23.04,App
ORD000439,37993,86.1,Douyin
ORD000440,32286,122.39,WeChat_Mini
ORD000441,13003,87.69,nan
ORD000442,32115,17.22,App
ORD000443,42543,83.82,App
ORD000444,43604,31.7,Kuaishou
ORD000445,17397,153.81,nan
ORD000446,37466,120.7,WeChat_Mini
ORD000447,32597,42.44,nan
ORD000448,17752,59.67,App
ORD000449,48687,38.58,WeChat_Mini
ORD000450,41712,85.61,Douyin
ORD000451,30524,193.27,Kuaishou
ORD000452,15245,40.91,App
ORD000453,22682,134.73,WeChat_Mini
ORD000454,22721,58.9,Kuaishou
ORD000455,41786,47.74,nan
ORD000456,3073,82.63,Kuaishou
ORD000457,11968,39.32,Douyin
ORD000458,17912,57.81,WeChat_Mini
ORD000459,7664,34.53,Douyin
ORD000460,18480,433.45,App
ORD000461,1687,92.59,Douyin
ORD000462,2210,51.43,App
ORD000463,22465,106.82,nan
ORD000464,32461,82.28,Douyin
ORD000465,29358,75.43,WeChat_Mini
ORD000466,12760,147.13,WeChat_Mini
ORD000467,48016,165.01,App
ORD000468,49302,58.89,App
ORD000469,45074,56.79,Douyin
ORD000470,49790,72.24,App
ORD000471,38217,14.27,nan
ORD000472,37456,26.79,WeChat_Mini
ORD000473,48705,268.67,Kuaishou
ORD000474,32629,335.62,Douyin
ORD000475,37171,73.76,App
ORD000476,18869,142.77,App
ORD000477,34079,115.47,App
ORD000478,35738,1056.91,App
ORD000479,14212,220.45,App
ORD000480,20275,81.26,Douyin
ORD000481,20415,41.91,App
ORD000482,18232,24.9,Douyin
ORD000483,37891,105.93,App
ORD000484,14157,49.15,WeChat_Mini
ORD000485,42881,28.85,App
ORD000486,35856,53.66,Douyin
ORD000487,26461,37.89,App
ORD000488,26518,347.13,Douyin
ORD000489,46940,182.24,App
ORD000490,48233,89.44,App
ORD000491,39072,294.11,Kuaishou
ORD000492,39220,95.76,WeChat_Mini
ORD000493,14993,45.19,App
ORD000494,6081,304.45,App
ORD000495,1017,138.54,WeChat_Mini
ORD000496,2342,39.26,App
ORD000497,32020,77.3,Douyin
ORD000498,40997,44.68,nan
ORD000499,20364,29.78,WeChat_Mini
ORD000500,1698,188.85,WeChat_Mini
ORD000501,8371,414.69,App
ORD000502,14508,29.4,Kuaishou
ORD000503,33926,141.23,App
ORD000504,36491,53.49,App
ORD000505,4656,60.96,WeChat_Mini
ORD000506,7075,56.04,App
ORD000507,6329,45.1,App
ORD000508,23506,93.58,WeChat_Mini
ORD000509,9498,46.3,App
ORD000510,3010,111.76,App
ORD000511,41526,86.47,Kuaishou
ORD000512,5117,74.35,WeChat_Mini
ORD000513,45271,43.55,WeChat_Mini
ORD000514,46783,56.75,App
ORD000515,13307,164.73,Douyin
ORD000516,12348,134.39,WeChat_Mini
ORD000517,47572,41.18,nan
ORD000518,30811,97.46,App
ORD000519,13724,164.2,WeChat_Mini
ORD000520,7458,23.68,WeChat_Mini
ORD000521,9906,139.03,Kuaishou
ORD000522,42988,52.98,Douyin
ORD000523,20279,142.09,App
ORD000524,23866,48.88,Douyin
ORD000525,6075,21.24,Kuaishou
ORD000526,33080,24.48,WeChat_Mini
ORD000527,21689,93.55,WeChat_Mini
ORD000528,14837,110.81,WeChat_Mini
ORD000529,7643,43.66,App
ORD000530,2169,150.04,WeChat_Mini
ORD000531,43306,23.83,App
ORD000532,44156,85.38,WeChat_Mini
ORD000533,41115,34.16,Kuaishou
ORD000534,2967,53.44,WeChat_Mini
ORD000535,21597,93.5,WeChat_Mini
ORD000536,21341,45.23,WeChat_Mini
ORD000537,15313,66.18,WeChat_Mini
ORD000538,11171,201.35,WeChat_Mini
ORD000539,6436,56.74,Douyin
ORD000540,20927,175.66,Kuaishou
ORD000541,15142,36.46,App
ORD000542,4458,137.53,Kuaishou
ORD000543,12985,285.22,App
ORD000544,4904,12.46,App
ORD000545,37901,47.58,App
ORD000546,34079,142.83,Douyin
ORD000547,12969,76.52,Kuaishou
ORD000548,14969,121.14,nan
ORD000549,41496,55.52,WeChat_Mini
ORD000550,30442,96.47,App
ORD000551,35153,79.48,WeChat_Mini
ORD000552,44319,229.12,App
ORD000553,43085,110.34,Douyin
ORD000554,12958,117.93,Kuaishou
ORD000555,30661,64.75,App
ORD000556,2700,60.94,App
ORD000557,3950,63.69,Douyin
ORD000558,12007,123.42,App
ORD000559,48641,64.28,WeChat_Mini
ORD000560,43196,113.5,Kuaishou
ORD000561,47699,473.58,WeChat_Mini
ORD000562,44298,180.71,App
ORD000563,26614,69.35,Douyin
ORD000564,4184,235.33,nan
ORD000565,38184,64.94,Kuaishou
ORD000566,47417,17.63,nan
ORD000567,2701,40.19,App
ORD000568,41452,20.15,Kuaishou
ORD000569,28709,67.95,Kuaishou
ORD000570,40642,91.35,App
ORD000571,40876,344.17,App
ORD000572,35468,116.93,Kuaishou
ORD000573,27343,75.54,App
ORD000574,9502,174.78,WeChat_Mini
ORD000575,33687,15.35,App
ORD000576,28981,108.69,WeChat_Mini
ORD000577,11959,166.78,WeChat_Mini
ORD000578,37274,27.58,App
ORD000579,33764,224.75,App
ORD000580,15732,118.01,App
ORD000581,35081,64.57,Kuaishou
ORD000582,1390,149.34,App
ORD000583,18750,553.66,nan
ORD000584,22648,104.11,WeChat_Mini
ORD000585,48130,109.79,Douyin
ORD000586,7524,62.33,Douyin
ORD000587,44518,45.61,Kuaishou
ORD000588,5910,174.91,App
ORD000589,20759,45.38,nan
ORD000590,35423,95.32,App
ORD000591,22943,61.43,WeChat_Mini
ORD000592,38115,132.05,App
ORD000593,3897,117.56,App
ORD000594,42358,206.44,App
ORD000595,36700,59.86,WeChat_Mini
ORD000596,8953,72.54,nan
ORD000597,12586,41.14,Kuaishou
ORD000598,13806,63.09,WeChat_Mini
ORD000599,23509,121.73,WeChat_Mini
ORD000600,43676,164.94,WeChat_Mini
ORD000601,2432,43.05,WeChat_Mini
ORD000602,5534,180.49,Douyin
ORD000603,30073,266.27,App
ORD000604,47690,125.3,App
ORD000605,18725,404.01,App
ORD000606,3701,48.47,Douyin
ORD000607,29096,33.26,WeChat_Mini
ORD000608,5068,21.69,App
ORD000609,23013,297.92,Kuaishou
ORD000610,11064,151.94,App
ORD000611,19012,86.1,App
ORD000612,6737,112.61,App
ORD000613,44043,36.58,WeChat_Mini
ORD000614,29403,636.89,WeChat_Mini
ORD000615,43698,99.82,WeChat_Mini
ORD000616,28468,98.25,Douyin
ORD000617,40263,160.87,App
ORD000618,36094,132.26,WeChat_Mini
ORD000619,29604,107.67,Kuaishou
ORD000620,27473,47.83,App
ORD000621,42111,131.26,Douyin
ORD000622,1955,405.7,Kuaishou
ORD000623,3101,264.1,App
ORD000624,28619,322.0,App
ORD000625,23619,59.8,App
ORD000626,30733,40.79,Kuaishou
ORD000627,33846,81.4,App
ORD000628,18303,94.12,App
ORD000629,10302,216.02,App
ORD000630,18532,23.24,WeChat_Mini
ORD000631,36438,306.02,nan
ORD000632,2799,79.33,WeChat_Mini
ORD000633,27871,63.98,App
ORD000634,5019,40.06,App
ORD000635,16958,23.95,App
ORD000636,40627,173.91,App
ORD000637,48801,95.45,Douyin
ORD000638,28921,32.07,App
ORD000639,11505,31.94,App
ORD000640,45446,68.81,App
ORD000641,19204,342.14,App
ORD000642,49676,73.14,App
ORD000643,34997,27.04,App
ORD000644,34684,73.95,Douyin
ORD000645,33223,72.37,WeChat_Mini
ORD000646,40975,10.41,App
ORD000647,23368,86.19,App
ORD000648,12080,74.83,Douyin
ORD000649,13235,157.11,App
ORD000650,3867,395.11,WeChat_Mini
ORD000651,27287,221.68,WeChat_Mini
ORD000652,38993,72.59,App
ORD000653,12264,37.14,App
ORD000654,14621,705.35,App
ORD000655,32820,94.38,App
ORD000656,43579,91.03,Kuaishou
ORD000657,37489,88.3,App
ORD000658,7227,105.47,nan
ORD000659,25498,80.2,App
ORD000660,44159,56.89,nan
ORD000661,30680,58.12,WeChat_Mini
ORD000662,28965,87.69,App
ORD000663,32910,58.28,App
ORD000664,42122,50.89,Douyin
ORD000665,30935,98.02,App
ORD000666,38503,73.41,WeChat_Mini
ORD000667,48538,299.82,Kuaishou
ORD000668,47978,10.8,Kuaishou
ORD000669,3918,215.55,App
ORD000670,43791,243.93,App
ORD000671,14968,17.14,WeChat_Mini
ORD000672,33302,68.43,Douyin
ORD000673,31628,66.88,App
ORD000674,35170,29.19,App
ORD000675,14146,48.32,App
ORD000676,49911,37.02,App
ORD000677,15019,365.7,App
ORD000678,33759,190.29,Douyin
ORD000679,30391,248.95,App
ORD000680,36101,160.35,App
ORD000681,19616,36.48,App
ORD000682,48639,59.17,WeChat_Mini
ORD000683,37002,133.15,Kuaishou
ORD000684,34790,33.86,App
ORD000685,1082,159.24,Kuaishou
ORD000686,49539,74.27,Kuaishou
ORD000687,11708,66.7,WeChat_Mini
ORD000688,27765,158.98,Kuaishou
ORD000689,11445,128.43,WeChat_Mini
ORD000690,11876,67.44,App
ORD000691,44613,227.57,Douyin
ORD000692,45460,37.91,WeChat_Mini
ORD000693,17976,147.34,WeChat_Mini
ORD000694,30438,144.67,WeChat_Mini
ORD000695,23640,70.27,App
ORD000696,48953,116.85,App
ORD000697,42087,33.09,App
ORD000698,10632,188.52,WeChat_Mini
ORD000699,24385,77.64,WeChat_Mini
ORD000700,37183,59.25,nan
ORD000701,9678,208.35,Douyin
ORD000702,47176,51.24,Douyin
ORD000703,8280,29.17,App
ORD000704,43568,25.91,WeChat_Mini
ORD000705,10196,146.18,App
ORD000706,12112,32.32,WeChat_Mini
ORD000707,35526,366.44,Douyin
ORD000708,5469,17.02,Douyin
ORD000709,49343,349.73,Douyin
ORD000710,45510,106.57,App
ORD000711,5026,83.32,App
ORD000712,32193,58.21,App
ORD000713,47052,123.88,WeChat_Mini
ORD000714,16044,87.35,App
ORD000715,20591,217.6,WeChat_Mini
ORD000716,48320,98.63,App
ORD000717,30848,101.52,App
ORD000718,7986,67.3,App
ORD000719,17782,86.01,App
ORD000720,21620,115.15,App
ORD000721,22556,22.92,App
ORD000722,46982,30.61,App
ORD000723,15421,163.14,App
ORD000724,28323,103.2,App
ORD000725,28777,77.7,App
ORD000726,47380,91.35,WeChat_Mini
ORD000727,27850,118.87,WeChat_Mini
ORD000728,2733,58.45,App
ORD000729,32670,48.3,nan
ORD000730,40905,105.29,App
ORD000731,1510,41.15,WeChat_Mini
ORD000732,19605,124.79,App
ORD000733,9750,23.06,App
ORD000734,14069,205.06,WeChat_Mini
ORD000735,48812,131.38,App
ORD000736,12854,110.48,App
ORD000737,34386,197.58,Kuaishou
ORD000738,20475,341.17,App
ORD000739,15795,202.65,WeChat_Mini
ORD000740,12869,20.64,App
ORD000741,7832,32.34,nan
ORD000742,26673,54.61,App
ORD000743,30253,91.92,App
ORD000744,26235,136.2,WeChat_Mini
ORD000745,12046,50.37,WeChat_Mini
ORD000746,44873,104.52,WeChat_Mini
ORD000747,10650,49.19,App
ORD000748,23953,55.19,WeChat_Mini
ORD000749,21950,29.21,App
ORD000750,22412,43.01,App
ORD000751,12873,30.53,App
ORD000752,11721,41.24,WeChat_Mini
ORD000753,32558,209.12,App
ORD000754,24980,42.12,Kuaishou
ORD000755,32865,739.45,WeChat_Mini
ORD000756,14437,133.57,App
ORD000757,33768,104.36,nan
ORD000758,29622,45.3,Kuaishou
ORD000759,10281,157.63,WeChat_Mini
ORD000760,45258,56.8,Douyin
ORD000761,19633,99.25,WeChat_Mini
ORD000762,32351,697.89,WeChat_Mini
ORD000763,4799,83.36,WeChat_Mini
ORD000764,26999,225.75,WeChat_Mini
ORD000765,23150,51.29,App
ORD000766,39441,87.53,App
ORD000767,26576,371.16,WeChat_Mini
ORD000768,17359,54.51,App
ORD000769,32681,383.74,App
ORD000770,42976,158.57,Douyin
ORD000771,47767,57.4,App
ORD000772,19820,149.3,Kuaishou
